Id,Group
1379502930114099,cuartosyroomieszmg
1379862062719135,cuartosyroomieszmg
1380327266014556,529603630566325
1380870645816454,1447650615560237
1380896689251184,cuartosyroomieszmg
1382002579144062,926692934070184
1382246665887339,1447650615560237
1383704545610667,926692934070184
1395317624437441,926692934070184
1396589971218731,cuartosyroomieszmg
1398637847678664,cuartosyroomieszmg
1407673050119686,926692934070184
1411043096350822,443342110118758
1417241672447583,1447650615560237
1419145142334730,1447650615560237
1424757884828248,cuartosyroomieszmg
1431387930813089,1447650615560237
1432097784060637,926692934070184
1435062950445319,926692934070184
1435565420462764,cuartosyroomieszmg
1437273947186956,529603630566325
1437408213851635,1447650615560237
1441067353485340,1447650615560237
1442859613292448,cuartosyroomieszmg
1443848749880247,926692934070184
1449889689280468,926692934070184
1452984955293013,6151546404957659
1454813905390963,1447650615560237
1458956391705939,926692934070184
1460953584776886,926692934070184
1460969924496307,cuartosyroomieszmg
1461039107826123,cuartosyroomieszmg
1462271431381687,cuartosyroomieszmg
1462816901323671,926692934070184
1466848524268765,cuartosyroomieszmg
1467779847450832,6151546404957659
1468709683733646,926692934070184
146948408354658,1447650615560237
1474422046838251,2982751505128088
1477207399501656,2982751505128088
1480908445982066,1447650615560237
1484085589102659,1447650615560237
1486014395683436,6151546404957659
1486870398561985,cuartosyroomieszmg
1487245702188448,926692934070184
1488073515401277,926692934070184
1492060878376582,cuartosyroomieszmg
1492994564894097,cuartosyroomieszmg
1493343764928061,cuartosyroomieszmg
1493603554523401,cuartosyroomieszmg
1496671820882176,926692934070184
1497428591190560,cuartosyroomieszmg
1500966670458605,6151546404957659
1507017399879412,926692934070184
1507299260219595,cuartosyroomieszmg
1521090268739265,926692934070184
1521571025367315,926692934070184
1534237817370205,926692934070184
1539315866625659,cuartosyroomieszmg
1540724766772194,1447650615560237
1545801522928402,926692934070184
1548754865903658,926692934070184
1549484532287836,6151546404957659
1552083992031264,926692934070184
1554571472062041,926692934070184
1560799354697629,cuartosyroomieszmg
1562355074550102,cuartosyroomieszmg
1564639334313739,6151546404957659
1565843097531512,926692934070184
1567111497407375,cuartosyroomieszmg
157110764136416,1447650615560237
1575456603297123,2982751505128088
1577146266457736,2982751505128088
1579489602904694,926692934070184
1585956978831597,926692934070184
1586325825496214,cuartosyroomieszmg
1588090158677443,cuartosyroomieszmg
1590443481779199,926692934070184
1596622810870186,1447650615560237
1598234274349166,926692934070184
1598662790870366,926692934070184
1599267584164854,926692934070184
1602675707133901,926692934070184
1602750080459631,6151546404957659
1603140543785347,926692934070184
1606093823469589,926692934070184
1607557230079888,6151546404957659
1618224195604334,cuartosyroomieszmg
1619111255526469,926692934070184
1619500712185706,cuartosyroomieszmg
1622499248267355,1447650615560237
1630577770756502,1447650615560237
1631668884304649,101428536996053
1634068694004310,926692934070184
1635975580528232,cuartosyroomieszmg
1639436296889152,cuartosyroomieszmg
1642458803165310,926692934070184
1645394902531342,926692934070184
1646800459057719,2982751505128088
1650387988829437,926692934070184
165292246504541,1447650615560237
1676587799544392,cuartosyroomieszmg
1698868400642105,2982751505128088
1711936559246693,1447650615560237
172651165457495,1447650615560237
1744463346065393,926692934070184
1745276895937102,1447650615560237
1753006955208919,6151546404957659
1755084391643910,926692934070184
1780255945718503,cuartosyroomieszmg
1780719605688770,926692934070184
1795817264178701,926692934070184
180287331632981,443342110118758
1805352973274970,cuartosyroomieszmg
1815873805549956,1447650615560237
1815998898848271,1447650615560237
1817351542111924,cuartosyroomieszmg
1834139213693315,926692934070184
1836358463473026,926692934070184
1838596229918138,529603630566325
1848402192292566,cuartosyroomieszmg
1850251598827079,cuartosyroomieszmg
1860116484436713,cuartosyroomieszmg
1861364830971581,cuartosyroomieszmg
1864689373952453,529603630566325
1875362426261636,6151546404957659
1877250049380511,cuartosyroomieszmg
1881141812358562,cuartosyroomieszmg
1881966625576616,6151546404957659
1891975717884284,cuartosyroomieszmg
1901862923563413,6151546404957659
1905635153225744,cuartosyroomieszmg
192681537171622,1447650615560237
1947324889033623,101428536996053
1968611353536810,529603630566325
1972286853166834,926692934070184
197444752726081,1447650615560237
