"clave_mun","mun","ageb","indice","pob3mas","pob12mas","sin_disc","escolaridad","ocupados","salud","fecundidad","hacinamiento","piso","energia","agua","tinaco","escusado","drenaje","refri","lavadora","auto","celular","internet"
120,"Zapopan","6315",-0.071103482086611,56,48,0.946428571428571,8.96,0.708333333333333,0.5,1.9,1.16,1,1,1,0.785714285714286,1,1,0.928571428571429,0.785714285714286,0.571428571428571,0.928571428571429,0.5
120,"Zapopan","632A",-0.12888239604853,187,133,1.01069518716578,9.42,0.601503759398496,0.46524064171123,2.02,1.27,0.944444444444444,1,1,0.666666666666667,1,1,0.962962962962963,0.814814814814815,0.555555555555556,0.981481481481482,0.481481481481481
120,"Zapopan","6391",-0.60468914879344,3693,2919,0.968318440292445,7.62,0.703323055841041,0.518819388031411,2.16,1.34,0.882669537136706,0.992465016146394,0.988159311087191,0.504843918191604,0.983853606027987,0.992465016146394,0.892357373519914,0.671689989235737,0.40043057050592,0.898815931108719,0.350914962325081
120,"Zapopan","6438",1.06775794510247,2879,2390,0.980896144494616,14.72,0.790376569037657,0.916290378603682,1.26,0.74,0.997191011235955,1,1,0.894194756554307,0.99812734082397,0.993445692883895,0.999063670411985,0.960674157303371,0.925093632958802,0.98876404494382,0.912921348314607
120,"Zapopan","6495",1.31222665383742,112,103,0.991071428571429,14.28,0.815533980582524,0.901785714285714,1.14,0.6,1,1,1,1,1,1,1,1,1,1,1
120,"Zapopan","6508",0.272100545404887,4207,3496,0.913952935583551,10.83,0.661899313501144,0.71072022819111,1.76,1,0.991876523151909,1,0.995938261575955,0.887896019496344,0.999187652315191,1,0.965881397238018,0.861900893582453,0.616571892770106,0.961819658813972,0.721364744110479
120,"Zapopan","6512",0.534015103610204,4457,3769,0.954004936055643,12.31,0.607322897320244,0.743325106573929,1.77,0.86,0.986153846153846,0.996923076923077,0.996153846153846,0.976153846153846,0.996923076923077,0.996923076923077,0.983076923076923,0.933076923076923,0.803076923076923,0.960769230769231,0.856153846153846
120,"Zapopan","6527",0.0933929321060743,3127,2558,0.935081547809402,9.39,0.656763096168882,0.648225135913016,2.14,1,0.981684981684982,1,1,0.711843711843712,1,1,0.976800976800977,0.887667887667888,0.587301587301587,0.946275946275946,0.645909645909646
120,"Zapopan","6531",-0.0983526249393362,4508,3753,0.860913930789707,8.76,0.669331201705302,0.635758651286602,2.42,1.05,0.96401028277635,0.999143101970865,0.999143101970865,0.880034275921165,0.998286203941731,1,0.97343616109683,0.860325621251071,0.439588688946015,0.916023993144816,0.619537275064267
120,"Zapopan","6546",-0.0888184715825736,6102,5063,0.874631268436578,8.88,0.652577523207584,0.635857096034087,2.18,1.11,0.971943887775551,0.997327989311957,0.995991983967936,0.84435537742151,0.996659986639947,0.995991983967936,0.965263861055444,0.832999331997328,0.464261857047428,0.934535738142953,0.633934535738143
120,"Zapopan","6550",0.785796573148165,2882,2484,0.958015267175573,13.73,0.610708534621578,0.754684247050659,1.56,0.69,0.982517482517482,0.998834498834499,0.998834498834499,0.886946386946387,0.998834498834499,0.997668997668998,0.995337995337995,0.94988344988345,0.924242424242424,0.986013986013986,0.93006993006993
120,"Zapopan","6565",0.997311574605428,2876,2501,0.920375521557719,14.85,0.607357057177129,0.882475660639777,1.51,0.57,0.995073891625616,1,0.998768472906404,0.802955665024631,0.998768472906404,0.998768472906404,0.998768472906404,0.995073891625616,0.982758620689655,0.992610837438424,0.99384236453202
